case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202106-00035,ACC0005609,IND1904010495,2273.23,4,pre_delinquent,2021-06-18,sms,1153.8,2021-06-25,,resolved,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R1 154 cash. Account now current."
COLL-202106-00036,ACC0004822,IND1903010352,769.05,73,late_collections,2021-06-05,letter,,,,closed,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00037,ACC0008847,IND1906016618,3376.65,2,pre_delinquent,2021-06-07,email,,,,closed,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R1 500 cash. Account now current."
COLL-202106-00038,ACC0025674,IND2104016397,1119.22,25,pre_delinquent,2021-06-03,email,,,,closed,Nomsa Dlamini,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00039,ACC0024125,IND2103005443,200.0,36,early_collections,2021-06-28,email,45.22,2021-07-04,,resolved,Ayanda Mthembu,Arrangement agreed: R45/month for 6 months starting 12 October.
COLL-202106-00040,ACC0009939,IND1907007504,967.33,118,legal,2021-06-30,sms,,,,open,Lerato Khumalo,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00041,ACC0008723,IND1906009629,1523.0,57,early_collections,2021-06-05,letter,607.17,2021-06-26,,resolved,Sipho Naidoo,Settlement offer of R607 communicated; customer requested until month-end.
COLL-202106-00042,ACC0010115,IND1907016405,5546.27,36,early_collections,2021-06-07,letter,1534.57,2021-07-07,,open,Sipho Naidoo,Settlement offer of R1 535 communicated; customer requested until month-end.
COLL-202106-00043,ACC0017318,IND1912014168,2395.7,104,legal,2021-06-14,phone_call,653.22,2021-06-20,,open,Johan Botha,Settlement offer of R653 communicated; customer requested until month-end. Escalating to legal.
COLL-202106-00044,ACC0023349,IND2102011242,2589.75,30,pre_delinquent,2021-06-26,phone_call,,,,open,Sipho Naidoo,Settlement offer of R750 communicated; customer requested until month-end.
COLL-202106-00045,ACC0008630,IND1906006926,446.1,32,early_collections,2021-06-27,email,,,,closed,Thabo Mokoena,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00046,ACC0000233,IND1901001157,1741.38,71,late_collections,2021-06-09,letter,,,,open,Fatima Patel,"Customer called, says employer missed payroll. Promised R2 500 by month-end."
COLL-202106-00047,ACC0011572,IND1908002387,7855.81,115,legal,2021-06-06,letter,3192.25,2021-06-16,,resolved,Sipho Naidoo,Debit order returned NSF for third time. Recommend restructuring. Escalating to legal.
COLL-202106-00049,ACC0000428,IND1901005094,2273.24,26,pre_delinquent,2021-06-10,email,,,,resolved,Lerato Khumalo,Arrangement agreed: R1 200/month for 6 months starting 4 June.
COLL-202106-00050,ACC0021949,IND2101001090,200.0,3,pre_delinquent,2021-06-30,phone_call,,,,resolved,Ayanda Mthembu,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00051,ACC0022083,IND2101004384,3625.46,21,pre_delinquent,2021-06-15,branch_visit,,,,open,David Govender,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00052,ACC0019970,IND2006002288,601.18,7,pre_delinquent,2021-06-10,branch_visit,,,,resolved,Ayanda Mthembu,Arrangement agreed: R1 200/month for 6 months starting 19 April.
COLL-202106-00053,ACC0000361,IND1901010400,1168.53,111,legal,2021-06-30,email,314.0,2021-06-27,,closed,Johan Botha,Arrangement agreed: R314/month for 6 months starting 24 August. Escalating to legal.
COLL-202106-00054,ACC0010436,IND1907011436,632.2,48,early_collections,2021-06-24,letter,100.61,2021-06-26,,resolved,David Govender,Settlement offer of R101 communicated; customer requested until month-end.
COLL-202106-00055,ACC0008110,IND1905002294,3282.44,15,pre_delinquent,2021-06-18,sms,931.96,2021-06-20,,open,Zanele Ndlovu,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00056,ACC0014406,IND1909010070,5129.42,69,late_collections,2021-06-30,email,,,,closed,Thabo Mokoena,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00057,ACC0008170,IND1905000930,3954.77,120,legal,2021-06-06,letter,1715.68,2021-07-07,,resolved,Sipho Naidoo,Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.
COLL-202106-00058,ACC0024905,IND2103004884,3245.76,26,pre_delinquent,2021-06-12,letter,,,,closed,Zanele Ndlovu,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00059,ACC0021749,IND2101001358,1938.99,31,early_collections,2021-06-02,sms,743.85,2021-06-23,extended_term,resolved,Johan Botha,"Customer in Western Cape, low income band — hardship assessment required. Arrangement: extended term."
COLL-202106-00060,ACC0000361,IND1901010400,1244.56,18,pre_delinquent,2021-06-09,email,629.5,2021-06-26,,open,Johan Botha,"Customer visited branch, paid R630 cash. Account now current."
COLL-202106-00061,ACC0014955,IND1910011341,265.72,82,late_collections,2021-06-01,phone_call,,,,resolved,David Govender,Arrangement agreed: R500/month for 6 months starting 26 January.
COLL-202106-00062,ACC0026885,IND2104014982,3718.61,38,early_collections,2021-06-26,phone_call,,,restructured,open,Thabo Mokoena,Former churned customer returned; new arrears flagged after failed debit order. Arrangement: restructured.
COLL-202106-00063,ACC0013632,IND1909004380,2471.98,39,early_collections,2021-06-13,sms,,,,open,Zanele Ndlovu,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00064,ACC0011616,IND1908017642,6582.83,118,legal,2021-06-18,branch_visit,1358.66,2021-06-16,,resolved,Zanele Ndlovu,Settlement offer of R1 359 communicated; customer requested until month-end. Escalating to legal.
COLL-202106-00065,ACC0008991,IND1906011653,401.32,17,pre_delinquent,2021-06-08,branch_visit,157.28,2021-06-15,,resolved,Fatima Patel,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00066,ACC0013163,IND1909009650,2665.3,48,early_collections,2021-06-26,letter,,,,resolved,Lerato Khumalo,"Customer in Gauteng, low income band — hardship assessment required."
COLL-202106-00068,ACC0017318,IND1912014168,2094.0,63,late_collections,2021-06-27,sms,390.89,2021-06-21,,closed,Sipho Naidoo,"Customer in KwaZulu-Natal, low income band — hardship assessment required."
COLL-202106-00069,ACC0016853,IND1911017322,1197.07,17,pre_delinquent,2021-06-03,sms,617.15,2021-06-30,,resolved,Pieter van der Merwe,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00071,ACC0006155,IND1904014676,2523.97,120,legal,2021-06-23,branch_visit,874.89,2021-07-05,,open,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.
COLL-202106-00072,ACC0011375,IND1908017428,1786.02,4,pre_delinquent,2021-06-11,phone_call,858.79,2021-06-30,,open,Lerato Khumalo,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00073,ACC0016453,IND1911019950,3088.93,64,late_collections,2021-06-15,email,,,,open,Johan Botha,"Customer in Western Cape, low income band — hardship assessment required."
COLL-202106-00074,ACC0015209,IND1910001935,2407.71,6,pre_delinquent,2021-06-16,phone_call,1211.86,2021-06-30,,open,Nomsa Dlamini,Settlement offer of R1 212 communicated; customer requested until month-end.
COLL-202106-00075,ACC0008119,IND1905007986,853.87,80,late_collections,2021-06-08,letter,,,payment_holiday,open,Johan Botha,Arrangement agreed: R500/month for 6 months starting 1 April. Arrangement: payment holiday.
COLL-202106-00077,ACC0006508,IND1904001701,2231.07,60,early_collections,2021-06-03,sms,,,,resolved,Nomsa Dlamini,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00078,ACC0014118,IND1909004372,1190.12,61,late_collections,2021-06-15,email,229.23,2021-06-26,,open,Johan Botha,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00079,ACC0005348,IND1903018489,3064.53,53,early_collections,2021-06-21,sms,776.95,2021-07-07,,resolved,Fatima Patel,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00080,ACC0015978,IND1911018141,6187.14,20,pre_delinquent,2021-06-09,sms,,,,open,Thabo Mokoena,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00081,ACC0009192,IND1906014229,804.66,94,legal,2021-06-13,branch_visit,335.0,2021-07-02,,open,Thabo Mokoena,Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.
COLL-202106-00082,ACC0016972,IND1911008735,1409.55,41,early_collections,2021-06-08,letter,369.65,2021-06-15,,open,Thabo Mokoena,"Customer in Gauteng, low income band — hardship assessment required."
COLL-202106-00083,ACC0013078,IND1909003585,224.05,84,late_collections,2021-06-23,phone_call,52.67,2021-06-25,,resolved,David Govender,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00084,ACC0007237,IND1905000234,1931.62,74,late_collections,2021-06-07,sms,,,,open,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00085,ACC0009835,IND1906003483,3603.64,35,early_collections,2021-06-19,letter,,,,open,Sipho Naidoo,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00086,ACC0014046,IND1909010235,3635.2,24,pre_delinquent,2021-06-26,letter,1608.67,2021-06-15,,resolved,Fatima Patel,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00087,ACC0005969,IND1904013685,5252.12,16,pre_delinquent,2021-06-04,branch_visit,1771.99,2021-06-18,,open,Sipho Naidoo,Settlement offer of R1 772 communicated; customer requested until month-end.
COLL-202106-00088,ACC0010990,IND1907014332,1483.4,116,legal,2021-06-04,letter,484.62,2021-06-07,,resolved,Johan Botha,Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.
COLL-202106-00089,ACC0011330,IND1908011635,1607.89,52,early_collections,2021-06-02,email,562.29,2021-06-05,,resolved,Thabo Mokoena,Settlement offer of R562 communicated; customer requested until month-end.
COLL-202106-00090,ACC0011803,IND1908019137,4218.77,23,pre_delinquent,2021-06-11,phone_call,1653.7,2021-07-09,,closed,Johan Botha,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00091,ACC0017569,IND1910006167,3605.59,60,early_collections,2021-06-11,letter,669.64,2021-06-23,,open,Sipho Naidoo,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00092,ACC0007749,IND1905005754,418.11,15,pre_delinquent,2021-06-15,sms,,,,resolved,Ayanda Mthembu,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00093,ACC0014955,IND1910011341,688.64,30,pre_delinquent,2021-06-28,sms,,,,resolved,Zanele Ndlovu,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00094,ACC0024881,IND2103008015,2602.26,54,early_collections,2021-06-24,branch_visit,,,,open,Fatima Patel,Settlement offer of R750 communicated; customer requested until month-end.
COLL-202106-00096,ACC0025460,IND2104016385,3253.26,52,early_collections,2021-06-05,phone_call,,,,open,Ayanda Mthembu,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00097,ACC0002397,IND1902011058,380.81,70,late_collections,2021-06-05,phone_call,206.72,2021-07-04,settlement_offer,resolved,Ayanda Mthembu,"Customer called, says employer missed payroll. Promised R207 by month-end. Arrangement: settlement offer."
COLL-202106-00098,ACC0011913,IND1908006977,5564.97,21,pre_delinquent,2021-06-17,sms,2275.36,2021-06-09,,open,Fatima Patel,Settlement offer of R2 275 communicated; customer requested until month-end.
COLL-202106-00099,ACC0007973,IND1905006781,3679.18,49,early_collections,2021-06-08,phone_call,,,,open,Thabo Mokoena,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00100,ACC0001800,IND1902010748,790.76,285,write_off,2021-06-13,email,,,,resolved,Fatima Patel,"Customer called, says employer missed payroll. Promised R500 by month-end."
COLL-202106-00101,ACC0020312,IND2007001581,890.73,63,late_collections,2021-06-30,letter,,,,open,David Govender,"Customer visited branch, paid R2 500 cash. Account now current."
COLL-202106-00102,ACC0000155,IND1901004807,1041.29,20,pre_delinquent,2021-06-22,sms,,,,open,Lerato Khumalo,"Customer visited branch, paid R1 200 cash. Account now current."
COLL-202106-00103,ACC0023349,IND2102011242,2744.97,60,early_collections,2021-06-02,letter,,,,resolved,Thabo Mokoena,Settlement offer of R1 200 communicated; customer requested until month-end.
COLL-202106-00105,ACC0005777,IND1904012806,3474.18,87,late_collections,2021-06-19,branch_visit,598.57,2021-06-28,,open,David Govender,Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00106,ACC0011330,IND1908011635,1685.33,58,early_collections,2021-06-14,phone_call,,,,open,Johan Botha,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00107,ACC0023833,IND2102011712,563.76,27,pre_delinquent,2021-06-11,branch_visit,,,,closed,Thabo Mokoena,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00108,ACC0020428,IND2008000827,2420.28,44,early_collections,2021-06-23,phone_call,385.06,2021-06-16,,resolved,Ayanda Mthembu,"Customer called, says employer missed payroll. Promised R385 by month-end."
COLL-202106-00109,ACC0001036,IND1901011001,2801.0,314,write_off,2021-06-22,email,,,,closed,Lerato Khumalo,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00110,ACC0000836,IND1901001994,279.28,76,late_collections,2021-06-23,email,98.58,2021-06-30,,resolved,Nomsa Dlamini,Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00111,ACC0023704,IND2102004974,1480.54,48,early_collections,2021-06-08,email,,,,closed,Fatima Patel,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202106-00112,ACC0015066,IND1910003685,6390.24,45,early_collections,2021-06-01,email,2882.91,2021-06-17,,open,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00113,ACC0013163,IND1909009650,1480.32,106,legal,2021-06-17,phone_call,276.55,2021-06-30,,open,Ayanda Mthembu,"Customer called, says employer missed payroll. Promised R277 by month-end. Escalating to legal."
COLL-202106-00114,ACC0001214,IND1901003792,739.55,68,late_collections,2021-06-01,phone_call,,,extended_term,closed,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled. Arrangement: extended term.
COLL-202106-00115,ACC0017387,IND19009637,355.35,10,pre_delinquent,2021-06-20,letter,,,,open,Thabo Mokoena,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00116,ACC0020108,IND2007000691,7978.5,29,pre_delinquent,2021-06-15,phone_call,,,,closed,Zanele Ndlovu,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00117,ACC0002736,IND1902015711,9739.72,12,pre_delinquent,2021-06-22,email,,,,open,Johan Botha,Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00118,ACC0008630,IND1906006926,336.87,11,pre_delinquent,2021-06-14,email,,,,open,Fatima Patel,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00119,ACC0007937,IND1905005070,1991.73,3,pre_delinquent,2021-06-28,email,,,,open,Lerato Khumalo,Settlement offer of R1 500 communicated; customer requested until month-end.
COLL-202106-00120,ACC0010788,IND1907007228,3335.06,104,legal,2021-06-21,letter,1469.52,2021-06-13,,open,David Govender,"Customer visited branch, paid R1 470 cash. Account now current. Escalating to legal."
COLL-202106-00121,ACC0021659,IND2101007281,2911.93,39,early_collections,2021-06-17,phone_call,1317.14,2021-06-27,,open,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00123,ACC0025525,IND2104013685,483.51,3,pre_delinquent,2021-06-11,sms,,,,open,Lerato Khumalo,Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00124,ACC0020680,IND2009000399,16627.55,38,early_collections,2021-06-13,sms,,,,resolved,Ayanda Mthembu,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00125,ACC0025209,IND2104017749,2566.43,41,early_collections,2021-06-09,branch_visit,1271.86,2021-06-29,,closed,David Govender,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00126,ACC0014118,IND1909004372,613.28,7,pre_delinquent,2021-06-14,letter,130.94,2021-06-20,,open,Thabo Mokoena,Arrangement agreed: R131/month for 6 months starting 27 April.
COLL-202106-00127,ACC0010788,IND1907007228,2173.86,157,write_off,2021-06-06,sms,,,,closed,Ayanda Mthembu,Settlement offer of R1 500 communicated; customer requested until month-end.
COLL-202106-00129,ACC0000189,IND1901003338,633.66,54,early_collections,2021-06-16,phone_call,,,,resolved,Lerato Khumalo,"Customer in KwaZulu-Natal, low income band — hardship assessment required."
COLL-202106-00130,ACC0013606,IND1909009121,2712.4,41,early_collections,2021-06-26,email,797.26,2021-06-14,,resolved,Fatima Patel,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00131,ACC0010788,IND1907007228,1823.07,2,pre_delinquent,2021-06-28,branch_visit,607.37,2021-06-16,,open,Fatima Patel,Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00132,ACC0005706,IND1904001440,662.9,69,late_collections,2021-06-11,letter,,,settlement_offer,open,Thabo Mokoena,"Customer visited branch, paid R1 200 cash. Account now current. Arrangement: settlement offer."
COLL-202106-00133,ACC0009954,IND1907009083,562.22,16,pre_delinquent,2021-06-10,letter,,,,open,Sipho Naidoo,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00134,ACC0000457,IND1901014286,2458.38,54,early_collections,2021-06-30,letter,,,,open,Nomsa Dlamini,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00135,ACC0024062,COM2102000198,7738.27,34,early_collections,2021-06-04,letter,2585.34,2021-06-23,,open,David Govender,Arrangement agreed: R2 585/month for 6 months starting 15 March.
COLL-202106-00136,ACC0008847,IND1906016618,5203.09,26,pre_delinquent,2021-06-30,email,2379.17,2021-07-01,,open,Pieter van der Merwe,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00137,ACC0010015,IND1907004209,1552.79,71,late_collections,2021-06-17,phone_call,477.26,2021-06-27,,open,Pieter van der Merwe,"Customer in Western Cape, low income band — hardship assessment required."
COLL-202106-00138,ACC0003719,IND1903005540,2181.25,73,late_collections,2021-06-18,branch_visit,915.77,2021-06-24,,open,Johan Botha,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00139,ACC0017569,IND1910006167,3341.74,26,pre_delinquent,2021-06-17,branch_visit,768.09,2021-06-17,,open,Ayanda Mthembu,Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00140,ACC0008473,IND1906002141,1999.81,54,early_collections,2021-06-09,email,,,,open,David Govender,"Customer in KwaZulu-Natal, low income band — hardship assessment required."
COLL-202106-00141,ACC0019970,IND2006002288,1024.22,10,pre_delinquent,2021-06-20,branch_visit,,,,closed,Pieter van der Merwe,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00142,ACC0002484,IND1902004147,1487.73,19,pre_delinquent,2021-06-04,phone_call,,,,closed,Thabo Mokoena,"Customer visited branch, paid R750 cash. Account now current."
COLL-202106-00143,ACC0011670,IND1908007780,992.75,68,late_collections,2021-06-16,branch_visit,,,,resolved,Ayanda Mthembu,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00144,ACC0024081,IND2103005442,898.77,43,early_collections,2021-06-08,sms,248.99,2021-06-17,payment_holiday,resolved,Fatima Patel,"Customer in Western Cape, low income band — hardship assessment required. Arrangement: payment holiday."
COLL-202106-00145,ACC0002397,IND1902011058,362.63,161,write_off,2021-06-02,letter,,,,resolved,Thabo Mokoena,Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00146,ACC0016554,IND1911000992,1413.12,34,early_collections,2021-06-13,email,,,,open,Sipho Naidoo,Arrangement agreed: R1 200/month for 6 months starting 18 September.
COLL-202106-00147,ACC0023136,IND2102012126,1185.07,61,late_collections,2021-06-15,phone_call,,,,resolved,Pieter van der Merwe,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00148,ACC0007749,IND1905005754,350.1,72,late_collections,2021-06-05,letter,,,,resolved,Zanele Ndlovu,Former churned customer returned; new arrears flagged after failed debit order.
