case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes,drop_reason,minimum_observed_date
COLL-201902-00011,ACC0001494,IND1901015488,1683.82,27,pre_delinquent,2019-02-23,letter,355.32,2019-02-22,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201902-00012,ACC0001494,IND1901015488,1756.03,6,pre_delinquent,2019-02-04,letter,278.17,2019-03-03,,open,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00013,ACC0000134,IND1901012457,2664.15,21,pre_delinquent,2019-02-18,branch_visit,600.82,2019-02-09,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00014,ACC0000213,IND1901003541,696.23,6,pre_delinquent,2019-02-13,phone_call,,,,open,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 500 by month-end.",before_collection_start,
COLL-201902-00015,ACC0001163,IND1901009831,2107.98,28,pre_delinquent,2019-02-08,letter,,,,resolved,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00016,ACC0000766,IND1901001627,3355.33,64,late_collections,2019-02-22,letter,511.32,2019-02-28,,open,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00017,ACC0001369,IND1901008338,1066.23,97,legal,2019-02-24,letter,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.,before_collection_start,
COLL-201902-00018,ACC0001282,IND1901007129,1186.31,9,pre_delinquent,2019-02-11,phone_call,224.35,2019-03-04,,resolved,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R224 by month-end.",before_collection_start,
COLL-201902-00019,ACC0000774,IND1901000369,2444.96,83,late_collections,2019-02-15,letter,,,,resolved,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00020,ACC0001494,IND1901015488,1281.39,103,legal,2019-02-01,letter,529.72,2019-02-21,,resolved,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R530 cash. Account now current. Escalating to legal.",before_collection_start,
COLL-201902-00021,ACC0000386,IND1901013498,11503.79,17,pre_delinquent,2019-02-13,letter,,,,resolved,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 200 by month-end.",before_collection_start,
COLL-201902-00022,ACC0001494,IND1901015488,1716.79,20,pre_delinquent,2019-02-17,letter,,,,open,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R1 500 cash. Account now current.",before_collection_start,
COLL-201902-00023,ACC0001163,IND1901009831,2803.11,3,pre_delinquent,2019-02-04,branch_visit,706.15,2019-03-04,,resolved,Johan Botha,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00024,ACC0001365,IND1901015299,421.43,85,late_collections,2019-02-19,letter,231.41,2019-02-05,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00025,ACC0001494,IND1901015488,1092.37,21,pre_delinquent,2019-02-02,letter,,,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R750/month for 6 months starting 15 October.,before_collection_start,
COLL-201902-00026,ACC0001494,IND1901015488,1816.18,20,pre_delinquent,2019-02-24,letter,,,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201902-00027,ACC0000390,IND1901002143,447.47,94,legal,2019-02-28,branch_visit,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.,before_collection_start,
COLL-201902-00028,ACC0000134,IND1901012457,2792.41,23,pre_delinquent,2019-02-13,branch_visit,957.89,2019-03-04,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00029,ACC0001494,IND1901015488,1491.55,115,legal,2019-02-15,phone_call,465.31,2019-02-26,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.,before_collection_start,
COLL-201902-00030,ACC0000386,IND1901013498,6972.09,18,pre_delinquent,2019-02-06,phone_call,,,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00031,ACC0000774,IND1901000369,2092.77,104,legal,2019-02-26,letter,,,,closed,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00032,ACC0000390,IND1901002143,1031.74,105,legal,2019-02-06,branch_visit,,,,open,Ayanda Mthembu,"Customer called, says employer missed payroll. Promised R1 200 by month-end. Escalating to legal.",before_collection_start,
COLL-201902-00033,ACC0001365,IND1901015299,326.81,112,legal,2019-02-25,branch_visit,,,,open,Ayanda Mthembu,Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.,before_collection_start,
COLL-201902-00034,ACC0000386,IND1901013498,10792.32,28,pre_delinquent,2019-02-12,branch_visit,5555.14,2019-02-19,,resolved,Nomsa Dlamini,"Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00035,ACC0001365,IND1901015299,227.47,8,pre_delinquent,2019-02-11,letter,,,,open,Pieter van der Merwe,Settlement offer of R1 200 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00036,ACC0001494,IND1901015488,1837.38,4,pre_delinquent,2019-02-24,branch_visit,494.43,2019-02-21,,resolved,Fatima Patel,Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201902-00037,ACC0000390,IND1901002143,462.34,108,legal,2019-02-15,branch_visit,,,,open,Thabo Mokoena,Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.,before_collection_start,
COLL-201902-00038,ACC0001012,IND1901008033,1742.51,25,pre_delinquent,2019-02-23,branch_visit,,,,resolved,Thabo Mokoena,"Customer in KwaZulu-Natal, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00039,ACC0001282,IND1901007129,2306.57,89,late_collections,2019-02-13,phone_call,,,,open,David Govender,Arrangement agreed: R750/month for 6 months starting 11 May.,before_collection_start,
COLL-201902-00040,ACC0001369,IND1901008338,2078.79,120,legal,2019-02-20,letter,487.61,2019-02-19,,closed,David Govender,Arrangement agreed: R488/month for 6 months starting 17 October. Escalating to legal.,before_collection_start,
COLL-201902-00041,ACC0000390,IND1901002143,366.91,160,write_off,2019-02-22,branch_visit,,,,closed,Pieter van der Merwe,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00042,ACC0000386,IND1901013498,10204.22,45,early_collections,2019-02-13,letter,4884.31,2019-02-09,,resolved,Johan Botha,Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201902-00043,ACC0001012,IND1901008033,5067.97,96,legal,2019-02-10,branch_visit,,,,open,David Govender,"Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00044,ACC0000766,IND1901001627,3839.19,7,pre_delinquent,2019-02-25,letter,1090.06,2019-02-06,,resolved,Johan Botha,"Customer in Gauteng, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00045,ACC0001369,IND1901008338,2646.84,41,early_collections,2019-02-27,branch_visit,,,,resolved,Thabo Mokoena,"Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00046,ACC0001365,IND1901015299,467.28,62,late_collections,2019-02-05,phone_call,,,,open,Zanele Ndlovu,Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00047,ACC0001163,IND1901009831,3135.15,24,pre_delinquent,2019-02-01,branch_visit,,,,closed,Pieter van der Merwe,"Customer called, says employer missed payroll. Promised R350 by month-end.",before_collection_start,
COLL-201902-00048,ACC0001163,IND1901009831,4734.82,10,pre_delinquent,2019-02-25,phone_call,1476.07,2019-02-13,,open,Ayanda Mthembu,Arrangement agreed: R1 476/month for 6 months starting 9 February.,before_collection_start,
COLL-201902-00049,ACC0000134,IND1901012457,2412.48,28,pre_delinquent,2019-02-24,letter,,,,open,Johan Botha,"Customer in Western Cape, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00050,ACC0001365,IND1901015299,200.0,117,legal,2019-02-16,phone_call,72.11,2019-02-24,,resolved,Zanele Ndlovu,"Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00051,ACC0001282,IND1901007129,2440.12,106,legal,2019-02-16,branch_visit,,,,resolved,Sipho Naidoo,"Customer called, says employer missed payroll. Promised R2 500 by month-end. Escalating to legal.",before_collection_start,
COLL-201902-00052,ACC0000213,IND1901003541,689.21,67,late_collections,2019-02-06,letter,,,extended_term,open,Pieter van der Merwe,"Customer called, says employer missed payroll. Promised R500 by month-end. Arrangement: extended term.",before_collection_start,
COLL-201902-00053,ACC0001365,IND1901015299,403.95,5,pre_delinquent,2019-02-11,phone_call,76.91,2019-03-10,,open,Thabo Mokoena,Settlement offer of R77 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00054,ACC0000390,IND1901002143,692.9,9,pre_delinquent,2019-02-19,phone_call,,,,open,Lerato Khumalo,Settlement offer of R1 500 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00055,ACC0001163,IND1901009831,4545.17,52,early_collections,2019-02-04,letter,,,,resolved,Thabo Mokoena,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00056,ACC0001365,IND1901015299,201.31,21,pre_delinquent,2019-02-04,phone_call,89.59,2019-02-18,,resolved,Thabo Mokoena,Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00057,ACC0000213,IND1901003541,1553.02,13,pre_delinquent,2019-02-24,branch_visit,,,,open,Lerato Khumalo,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00058,ACC0001365,IND1901015299,246.65,66,late_collections,2019-02-03,phone_call,,,,open,Sipho Naidoo,"Customer in KwaZulu-Natal, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00059,ACC0001282,IND1901007129,1561.07,9,pre_delinquent,2019-02-03,branch_visit,,,,open,Johan Botha,"Customer called, says employer missed payroll. Promised R1 200 by month-end.",before_collection_start,
COLL-201902-00060,ACC0000386,IND1901013498,12119.46,33,early_collections,2019-02-05,letter,,,,resolved,Lerato Khumalo,"Customer in KwaZulu-Natal, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00061,ACC0000390,IND1901002143,931.95,28,pre_delinquent,2019-02-20,branch_visit,,,,open,Thabo Mokoena,Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00062,ACC0000774,IND1901000369,2088.93,27,pre_delinquent,2019-02-27,branch_visit,955.65,2019-02-15,,resolved,Sipho Naidoo,Settlement offer of R956 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00063,ACC0000213,IND1901003541,1369.97,40,early_collections,2019-02-05,branch_visit,,,settlement_offer,resolved,Lerato Khumalo,"Customer in KwaZulu-Natal, low income band — hardship assessment required. Arrangement: settlement offer.",before_collection_start,
COLL-201902-00064,ACC0001282,IND1901007129,1661.89,16,pre_delinquent,2019-02-21,phone_call,,,,open,Sipho Naidoo,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00065,ACC0000386,IND1901013498,4362.87,62,late_collections,2019-02-01,phone_call,,,,resolved,Zanele Ndlovu,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00066,ACC0001365,IND1901015299,379.8,63,late_collections,2019-02-12,branch_visit,109.17,2019-03-10,,closed,Sipho Naidoo,"Customer called, says employer missed payroll. Promised R109 by month-end.",before_collection_start,
COLL-201902-00067,ACC0001012,IND1901008033,3828.79,109,legal,2019-02-14,phone_call,,,,open,Johan Botha,Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.,before_collection_start,
COLL-201902-00068,ACC0001369,IND1901008338,2231.22,104,legal,2019-02-24,letter,940.77,2019-02-14,,closed,Ayanda Mthembu,Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.,before_collection_start,
COLL-201902-00069,ACC0001494,IND1901015488,1075.52,12,pre_delinquent,2019-02-02,phone_call,,,,open,Johan Botha,"Customer in KwaZulu-Natal, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00070,ACC0000134,IND1901012457,1526.12,24,pre_delinquent,2019-02-11,branch_visit,723.06,2019-02-26,,open,Sipho Naidoo,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00071,ACC0000134,IND1901012457,1751.6,7,pre_delinquent,2019-02-07,branch_visit,,,,open,Thabo Mokoena,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00072,ACC0000774,IND1901000369,2899.32,41,early_collections,2019-02-04,letter,,,,open,Lerato Khumalo,"Customer called, says employer missed payroll. Promised R1 500 by month-end.",before_collection_start,
COLL-201902-00073,ACC0000766,IND1901001627,6350.27,43,early_collections,2019-02-18,branch_visit,2397.78,2019-03-07,,resolved,Sipho Naidoo,Settlement offer of R2 398 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00074,ACC0000390,IND1901002143,897.96,53,early_collections,2019-02-16,phone_call,,,payment_holiday,open,Ayanda Mthembu,Legal letter sent via registered post. Awaiting response before summons. Arrangement: payment holiday.,before_collection_start,
COLL-201902-00075,ACC0000766,IND1901001627,3568.37,44,early_collections,2019-02-05,letter,1778.08,2019-02-16,,resolved,Johan Botha,"Customer visited branch, paid R1 778 cash. Account now current.",before_collection_start,
COLL-201902-00076,ACC0001494,IND1901015488,1447.76,22,pre_delinquent,2019-02-05,letter,,,,closed,Pieter van der Merwe,Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00077,ACC0001365,IND1901015299,410.96,100,legal,2019-02-19,phone_call,,,,open,Johan Botha,Settlement offer of R500 communicated; customer requested until month-end. Escalating to legal.,before_collection_start,
COLL-201902-00078,ACC0001163,IND1901009831,4259.8,95,legal,2019-02-22,branch_visit,1855.31,2019-03-04,,open,Ayanda Mthembu,Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.,before_collection_start,
COLL-201902-00079,ACC0001282,IND1901007129,2351.33,90,late_collections,2019-02-04,branch_visit,,,payment_holiday,closed,Zanele Ndlovu,"Customer visited branch, paid R750 cash. Account now current. Arrangement: payment holiday.",before_collection_start,
COLL-201902-00080,ACC0000390,IND1901002143,784.12,53,early_collections,2019-02-20,phone_call,207.14,2019-03-01,,open,Zanele Ndlovu,"Customer in Western Cape, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00081,ACC0000766,IND1901001627,6243.87,30,pre_delinquent,2019-02-06,branch_visit,2442.34,2019-02-27,,open,Nomsa Dlamini,"Customer called, says employer missed payroll. Promised R2 442 by month-end.",before_collection_start,
COLL-201902-00082,ACC0000766,IND1901001627,8128.95,28,pre_delinquent,2019-02-09,letter,,,,open,Thabo Mokoena,"Customer visited branch, paid R500 cash. Account now current.",before_collection_start,
COLL-201902-00083,ACC0001282,IND1901007129,959.25,25,pre_delinquent,2019-02-27,branch_visit,,,,open,Pieter van der Merwe,Settlement offer of R350 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00084,ACC0000390,IND1901002143,714.04,18,pre_delinquent,2019-02-07,branch_visit,,,,closed,Zanele Ndlovu,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00085,ACC0001494,IND1901015488,741.47,114,legal,2019-02-27,phone_call,202.27,2019-03-01,,resolved,David Govender,"Customer in Western Cape, low income band — hardship assessment required. Escalating to legal.",before_collection_start,
COLL-201902-00086,ACC0000390,IND1901002143,478.37,40,early_collections,2019-02-28,branch_visit,240.37,2019-02-14,,resolved,David Govender,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00087,ACC0001163,IND1901009831,1399.56,7,pre_delinquent,2019-02-18,phone_call,666.21,2019-03-01,,closed,Sipho Naidoo,"Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00088,ACC0000213,IND1901003541,1345.53,36,early_collections,2019-02-19,phone_call,,,,open,Sipho Naidoo,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00089,ACC0001282,IND1901007129,1498.9,52,early_collections,2019-02-22,branch_visit,371.26,2019-03-05,,resolved,Johan Botha,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00090,ACC0000390,IND1901002143,541.05,69,late_collections,2019-02-28,branch_visit,180.99,2019-02-09,,open,David Govender,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00091,ACC0001163,IND1901009831,3677.01,69,late_collections,2019-02-27,phone_call,,,,closed,David Govender,Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00092,ACC0000386,IND1901013498,10759.92,22,pre_delinquent,2019-02-28,branch_visit,,,,open,Fatima Patel,"Customer in Western Cape, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00093,ACC0000774,IND1901000369,3350.34,14,pre_delinquent,2019-02-17,letter,,,,resolved,Fatima Patel,Settlement offer of R2 500 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00094,ACC0000390,IND1901002143,584.39,31,early_collections,2019-02-14,letter,,,,open,Pieter van der Merwe,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00095,ACC0001494,IND1901015488,1414.18,30,pre_delinquent,2019-02-12,letter,,,,open,Zanele Ndlovu,"Customer called, says employer missed payroll. Promised R2 500 by month-end.",before_collection_start,
COLL-201902-00096,ACC0000134,IND1901012457,3076.76,6,pre_delinquent,2019-02-24,phone_call,,,,closed,Lerato Khumalo,Arrangement agreed: R2 500/month for 6 months starting 25 November.,before_collection_start,
COLL-201902-00097,ACC0000386,IND1901013498,9636.43,17,pre_delinquent,2019-02-17,letter,,,,closed,Nomsa Dlamini,Arrangement agreed: R1 200/month for 6 months starting 3 November.,before_collection_start,
COLL-201902-00098,ACC0000774,IND1901000369,3055.14,32,early_collections,2019-02-19,letter,1362.25,2019-02-20,,open,Nomsa Dlamini,"Customer called, says employer missed payroll. Promised R1 362 by month-end.",before_collection_start,
COLL-201902-00099,ACC0000390,IND1901002143,457.66,35,early_collections,2019-02-07,branch_visit,,,,open,David Govender,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00100,ACC0001369,IND1901008338,1137.19,29,pre_delinquent,2019-02-23,branch_visit,,,,resolved,David Govender,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00101,ACC0000386,IND1901013498,9403.83,27,pre_delinquent,2019-02-19,phone_call,3112.19,2019-03-07,,resolved,Zanele Ndlovu,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00102,ACC0000390,IND1901002143,654.0,17,pre_delinquent,2019-02-06,branch_visit,,,,resolved,Johan Botha,"Customer in KwaZulu-Natal, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00103,ACC0000134,IND1901012457,1470.25,5,pre_delinquent,2019-02-04,letter,,,,resolved,Nomsa Dlamini,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00104,ACC0000386,IND1901013498,10549.86,28,pre_delinquent,2019-02-16,phone_call,,,,open,David Govender,Arrangement agreed: R350/month for 6 months starting 5 December.,before_collection_start,
COLL-201902-00105,ACC0000766,IND1901001627,6844.18,13,pre_delinquent,2019-02-21,branch_visit,,,,open,Fatima Patel,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00106,ACC0000134,IND1901012457,1572.73,7,pre_delinquent,2019-02-07,phone_call,,,,resolved,David Govender,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00107,ACC0001012,IND1901008033,3664.11,294,write_off,2019-02-12,letter,,,,closed,Ayanda Mthembu,Arrangement agreed: R1 500/month for 6 months starting 24 February.,before_collection_start,
COLL-201902-00108,ACC0001369,IND1901008338,1809.76,84,late_collections,2019-02-03,branch_visit,993.77,2019-02-22,,resolved,David Govender,Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00109,ACC0000213,IND1901003541,1402.46,108,legal,2019-02-08,phone_call,413.49,2019-02-09,,resolved,Johan Botha,Settlement offer of R413 communicated; customer requested until month-end. Escalating to legal.,before_collection_start,
COLL-201902-00110,ACC0001163,IND1901009831,3592.16,14,pre_delinquent,2019-02-26,branch_visit,,,,open,Pieter van der Merwe,Settlement offer of R1 200 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00111,ACC0001012,IND1901008033,3242.38,45,early_collections,2019-02-07,letter,,,,closed,Pieter van der Merwe,"Customer in Eastern Cape, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00112,ACC0000386,IND1901013498,7099.76,40,early_collections,2019-02-08,phone_call,,,,open,Fatima Patel,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00113,ACC0000134,IND1901012457,4134.54,191,write_off,2019-02-16,branch_visit,,,,closed,Nomsa Dlamini,Arrangement agreed: R2 500/month for 6 months starting 1 June.,before_collection_start,
COLL-201902-00114,ACC0000766,IND1901001627,4161.9,116,legal,2019-02-07,branch_visit,760.24,2019-03-08,,resolved,David Govender,Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.,before_collection_start,
COLL-201902-00115,ACC0001494,IND1901015488,752.83,64,late_collections,2019-02-09,branch_visit,,,,open,Johan Botha,"Customer called, says employer missed payroll. Promised R350 by month-end.",before_collection_start,
COLL-201902-00116,ACC0000213,IND1901003541,965.06,108,legal,2019-02-08,letter,282.7,2019-02-28,,open,Ayanda Mthembu,Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.,before_collection_start,
COLL-201902-00117,ACC0001494,IND1901015488,1426.37,41,early_collections,2019-02-06,phone_call,,,,closed,Nomsa Dlamini,Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201902-00118,ACC0000774,IND1901000369,2945.22,112,legal,2019-02-16,letter,,,,resolved,Ayanda Mthembu,"Customer in Gauteng, low income band — hardship assessment required. Escalating to legal.",before_collection_start,
COLL-201902-00119,ACC0000134,IND1901012457,1994.16,1,pre_delinquent,2019-02-23,branch_visit,424.3,2019-02-15,,closed,Lerato Khumalo,Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201902-00120,ACC0001163,IND1901009831,3780.16,62,late_collections,2019-02-16,branch_visit,,,,closed,Pieter van der Merwe,Arrangement agreed: R350/month for 6 months starting 26 August.,before_collection_start,
COLL-201902-00121,ACC0000766,IND1901001627,6039.58,22,pre_delinquent,2019-02-06,letter,1043.48,2019-02-28,,resolved,Pieter van der Merwe,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00122,ACC0001494,IND1901015488,1835.91,3,pre_delinquent,2019-02-14,branch_visit,,,,open,David Govender,"Customer in Eastern Cape, low income band — hardship assessment required.",before_collection_start,
COLL-201902-00123,ACC0001012,IND1901008033,1738.88,76,late_collections,2019-02-28,letter,,,,open,Ayanda Mthembu,Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201903-00001,ACC0002248,IND1902012631,704.2,74,late_collections,2019-03-11,letter,,,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.,before_collection_start,
COLL-201903-00002,ACC0003065,IND1902007646,740.41,33,early_collections,2019-03-28,letter,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201903-00003,ACC0000134,IND1901012457,1285.42,31,early_collections,2019-03-29,branch_visit,,,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.,before_collection_start,
COLL-201903-00004,ACC0000889,IND1901001057,3382.49,47,early_collections,2019-03-27,branch_visit,963.02,2019-03-10,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Settlement offer of R963 communicated; customer requested until month-end.,before_collection_start,
